124,University of Iowa,Iowa,Iowa,Hawkeyes,Big Ten,iowa
125,Iowa State University,Iowa State,IowaSt,Cyclones,Big 12,iast
126,Indiana University - Purdue University Fort Wayne,IPFW,IPFW,Mastodons,The Summit,ipfw
127,Indiana University - Purdue University Indianapolis,IUPUI,IUPUI,Jaguars,The Summit,iupui
128,Jackson State University,Jackson State,JacksonSt,Tigers,SWAC,jkst
129,Jacksonville State University,Jacksonville State,JacksonvilleSt,Gamecocks,Ohio Valley,jacst
130,Jacksonville University,Jacksonville,Jacksonville,Dolphins,Atlantic Sun,jac
131,James Madison University,James Madison,JamesMadison,Dukes,CAA,jmu
132,University of Kansas,Kansas,Kansas,Jayhawks,Big 12,kansas
133,Kansas State University,Kansas State,KansasSt,Wildcats,Big 12,kanst
134,Kennesaw State University,Kennesaw State,Kennesaw,Owls,Atlantic Sun,ksawst
135,Kent State University,Kent State,KentSt,Golden Flashes,MAC,kentst
136,University of Kentucky,Kentucky,Kentucky,Wildcats,SEC,kty
137,La Salle University,La Salle,Lasalle,Explorers,A-10,lasal
138,Lafayette College,Lafayette,Lafayette,Leopards,Patriot League,laf
139,Lamar University,Lamar,Lamar,Cardinals,Southland,lamar
140,Lehigh University,Lehigh,Lehigh,Mountain Hawks,Patriot League,lehigh
141,Liberty University,Liberty,Liberty,Flames,Big South,lib
142,Lipscomb University,Lipscomb,Lipscomb,Bisons,Atlantic Sun,lips
143,"California State University, Long Beach",Long Beach State,LongBeachSt,49ers,Big West,lgbch
144,Long Island University (Brooklyn Campus),LIU-Brooklyn,LongIslandU,Blackbirds,Northeast,liu
145,Longwood University,Longwood,Longwood,Lancers,Big South,lngwd
146,University of Louisiana at Lafayette,Louisiana Lafayette,LALafayette,Ragin' Cajuns,Sun Belt,louis
147,University of Louisiana at Monroe,Louisiana Monroe,LAMonroe,Warhawks,Sun Belt,ul-mon
148,Louisiana Tech University,Louisiana Tech,LouisianaTech,Bulldogs,Conference USA,latech
149,University of Louisville,Louisville,Louisville,Cardinals,ACC,lou
150,Loyola Marymount University,Loyola Marymount,LoyolaMarymount,Lions,West Coast,lymnt
151,Loyola University Chicago,Loyola Chicago,LoyolaChicago,Ramblers,Missouri Valley,ly-il
152,Loyola University Maryland,Loyola-MD,LoyolaMD,Greyhounds,Patriot League,ly-md
153,Louisiana State University,LSU,LSU,Tigers,SEC,lsu
154,University of Maine,Maine,Maine,Black Bears,America East,maine
155,Manhattan College,Manhattan,Manhattan,Jaspers,MAAC,manhat
156,Marist College,Marist,Marist,Red Foxes,MAAC,marist
157,Marquette University,Marquette,Marquette,Golden Eagles,Big East,marq
158,Marshall University,Marshall,Marshall,Thundering Herd,Conference USA,marsh
159,"University of Maryland, College Park",Maryland,Maryland,Terrapins,Big Ten,md
160,University of Massachusetts Amherst,UMass,Massachusetts,Minutemen,A-10,umass
161,McNeese State University,McNeese State,McNeeseSt,Cowboys,Southland,mcne
162,Mercer University,Mercer,Mercer,Bears,Southern,mercer
163,University of Miami (Florida),Miami (FL),Miami,Hurricanes,ACC,mia-fl
164,Miami University (Ohio),Miami (OH),MiamiOH,RedHawks,MAC,mia-o
165,University of Michigan,Michigan,Michigan,Wolverines,Big Ten,mich
166,Michigan State University,Michigan State,MichiganSt,Spartans,Big Ten,msu
167,Middle Tennessee State University,MT,MiddleTennessee,Blue Raiders,Conference USA,middtn
168,University of Wisconsin-Milwaukee,Milwaukee,WisMilwaukee,Panthers,Horizon League,uw-mil
169,University of Minnesota,Minnesota,Minnesota,Golden Gophers,Big Ten,minn
170,University of Mississippi,Ole Miss,Mississippi,Rebels,SEC,miss
171,Mississippi State University,Mississippi State,MississippiSt,Bulldogs,SEC,missst
172,Mississippi Valley State University,Mississippi Valley State,MissValleySt,Delta Devils,SWAC,msvl
173,University of Missouri,Missouri,Missouri,Tigers,SEC,missou
174,Missouri State University,Missouri State,MissouriSt,Bears,Missouri Valley,mostu
175,Monmouth University,Monmouth,Monmouth,Hawks,MAAC,monm
176,Montana State University,Montana State,MontanaSt,Bobcats,Big Sky,montst
177,Morehead State University,Morehead State,MoreheadSt,Eagles,Ohio Valley,mor
178,Morgan State University,Morgan State,MorganSt,Bears,MEAC,morgan
179,Mount St. Mary's University,Mt. St. Mary's,MountStMarys,Mountaineers,Northeast,msm
180,Murray State University,Murray State,MurraySt,Racers,Ohio Valley,murray
181,United States Naval Academy,Navy,Navy,Midshipmen,Patriot League,navy
182,North Carolina State University,NC State,NorthCarolinaSt,Wolfpack,ACC,ncsu
183,University of Nebraska-Lincoln,Nebraska,Nebraska,Cornhuskers,Big Ten,neb
